"Datasource","Daily2","Region","Cost.Type","MaxDate","MinDate","Campaign.Name","Campaign.Label","Platform","Initiative","Brand","Platform.Cost","Impressions","Clicks","Engagements","Video.Views","Video.Completions","Daily","Month","Quarter","Year","Country","Cost.KPI","Unit.KPI","Unit.Cost","Central.Goal","Central.Cost","Central.Impressions","Central.Clicks","Central.Video.Views","Central.Video.Completions","Central.Engagements","Eval1","Eval2","Eval3","Eval4","Eval5","Eval6","EvalTotal","second.Eval","first.Eval","lEvalTotal","lsecondEval","lfirstEval","Eval_scale","firstEval_scale","secondEval_scale"
"Facebook Ads Insights","2021-07-21","CENAM","CPM",2021-07-21,2021-04-22,"MCMMIA_2021_NIC_KELLOGGS_PRINGLES_SEASONAL_ALWAYSON_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_EVENINGME","MCMMIA_2021_NIC_Kelloggs_Pringles_Seasonal_Always On_Facebook_Facebook and Instagram_Reach_CPM_Evening Me_Gaming_JUL_L24","Pringles","Always On","Facebook and Instagram",12.43,53282,210,1339,1326,391,2021-07-21,"2021-07",3,"2021","NIC","Impressions",53282,0.233287038774821,12233,0.501996007984032,12233,14,229,56,267,-0.464718912231353,4.3555955203139,15,5.01498127340824,6.98214285714286,5.79039301310044,5.44858760297509,1.55771099489254,4.3555955203139,1.69535641967117,0.443217432740185,1.47146134500038,5.35658695784543,4.29585253887755,0.662339516590335
"Facebook Ads Insights","2021-07-21","CENAM","CPM",2021-07-21,2021-04-22,"MCMMIA_2021_NIC_KELLOGGS_PRINGLES_SEASONAL_ALWAYSON_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_EVENINGME","MCMMIA_2021_NIC_Kelloggs_Pringles_Seasonal_Always On_Facebook_Facebook and Instagram_Reach_CPM_Evening Me_Gaming_JUL_L24","Pringles","Always On","Facebook and Instagram",8.4,36696,240,2926,2905,1938,2021-07-21,"2021-07",3,"2021","NIC","Impressions",36696,0.228907782864617,12233,0.501996007984032,12233,14,229,56,267,-0.455995225507647,2.99975476171013,17.1428571428571,10.9588014981273,34.6071428571429,12.6855895196507,4.40350896727858,1.8597494310761,2.99975476171013,1.4824017156593,0.620441764175083,1.09853053923009,4.58594647911323,2.5674284546185,0.731881487819596
"Facebook Ads Insights","2021-07-21","CENAM","CPM",2021-07-21,2021-04-22,"MCMMIA_2021_NIC_KELLOGGS_PRINGLES_SEASONAL_ALWAYSON_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_EVENINGME","MCMMIA_2021_NIC_Kelloggs_Pringles_Seasonal_Always On_Facebook_Facebook and Instagram_Reach_CPM_Evening Me_Gaming_JUL_L24","Pringles","Always On","Facebook and Instagram",15.39,67116,176,3118,3078,769,2021-07-21,"2021-07",3,"2021","NIC","Impressions",67116,0.229304487752548,12233,0.501996007984032,12233,14,229,56,267,-0.45678548057267,5.48647102100875,12.5714285714286,11.6779026217228,13.7321428571429,13.4410480349345,6.4186836714568,1.38899813102072,5.48647102100875,1.85921306108057,0.328582718213866,1.70228524756267,5.94203838251955,5.46641896378487,0.613981632580117
"Facebook Ads Insights","2021-07-21","CENAM","CPM",2021-07-21,2021-04-22,"MCMMIA_2021_NIC_KELLOGGS_PRINGLES_SEASONAL_ALWAYSON_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_EVENINGME","MCMMIA_2021_NIC_Kelloggs_Pringles_Seasonal_Always On_Facebook_Facebook and Instagram_Reach_CPM_Evening Me_Gaming_JUL_L24","Pringles","Always On","Facebook and Instagram",33.48,141919,565,7544,7528,4206,2021-07-21,"2021-07",3,"2021","NIC","Impressions",141919,0.235909215820292,12233,0.501996007984032,12233,14,229,56,267,-0.469942414019746,11.6013242867653,40.3571428571429,28.2546816479401,75.1071428571429,32.8733624454148,15.5280374540409,4.39665558129537,11.6013242867653,2.74264725789632,1.48084415674528,2.45111925424844,8.51063464428082,8.58354244700489,0.943836744289783
"Facebook Ads Insights","2021-07-21","CENAM","CPM",2021-07-21,2021-04-22,"MCMMIA_2021_HND_KELLOGGS_PRINGLES_SEASONAL_ALWAYSON_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_EVENINGME","MCMMIA_2021_HND_Kelloggs_Pringles_Seasonal_Always On_Facebook_Facebook and Instagram_Reach_CPM_Evening Me_Gaming_JUL_L23","Pringles","Always On","Facebook and Instagram",13.4,41907,142,1529,1521,475,2021-07-21,"2021-07",3,"2021","HND","Impressions",41907,0.319755649414179,12233,0.501996007984032,12233,14,229,56,267,-0.636968510363832,3.4257336712172,10.1428571428571,5.72659176029963,8.48214285714286,6.64192139737991,3.86946312773896,1.08069796688559,3.4257336712172,1.35311577073581,0.0776070980312292,1.23131565934874,4.12376489904887,3.14214326853705,0.502780035843347
"Facebook Ads Insights","2021-07-21","CENAM","CPM",2021-07-21,2021-04-22,"MCMMIA_2021_HND_KELLOGGS_PRINGLES_SEASONAL_ALWAYSON_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_EVENINGME","MCMMIA_2021_HND_Kelloggs_Pringles_Seasonal_Always On_Facebook_Facebook and Instagram_Reach_CPM_Evening Me_Gaming_JUL_L23","Pringles","Always On","Facebook and Instagram",6.89,23028,85,2428,2404,1513,2021-07-21,"2021-07",3,"2021","HND","Impressions",23028,0.299200972728852,12233,0.501996007984032,12233,14,229,56,267,-0.596022613666619,1.88244911305485,6.07142857142857,9.0936329588015,27.0178571428571,10.4978165938865,2.01257332492135,0.726146825533118,1.88244911305485,0.699414164390381,-0.320003045578563,0.632573648748784,2.07436474615946,1.05989333870036,0.32961748679563
"Facebook Ads Insights","2021-07-21","CENAM","CPM",2021-07-21,2021-04-22,"MCMMIA_2021_HND_KELLOGGS_PRINGLES_SEASONAL_ALWAYSON_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_EVENINGME","MCMMIA_2021_HND_Kelloggs_Pringles_Seasonal_Always On_Facebook_Facebook and Instagram_Reach_CPM_Evening Me_Gaming_JUL_L23","Pringles","Always On","Facebook and Instagram",29.72,97159,149,5567,5520,1136,2021-07-21,"2021-07",3,"2021","HND","Impressions",97159,0.30589034469272,12233,0.501996007984032,12233,14,229,56,267,-0.609348161793451,7.94236900188016,10.6428571428571,20.8501872659176,20.2857142857143,24.1048034934498,8.62850462166666,1.29548378157995,7.94236900188016,2.15507121333341,0.258884201898784,2.07221159371487,6.93982414106648,7.22182181789255,0.583630916715846
"Facebook Ads Insights","2021-07-21","CENAM","CPM",2021-07-21,2021-04-22,"MCMMIA_2021_HND_KELLOGGS_PRINGLES_SEASONAL_ALWAYSON_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_EVENINGME","MCMMIA_2021_HND_Kelloggs_Pringles_Seasonal_Always On_Facebook_Facebook and Instagram_Reach_CPM_Evening Me_Gaming_JUL_L23","Pringles","Always On","Facebook and Instagram",42.66,134332,409,9032,9022,4562,2021-07-21,"2021-07",3,"2021","HND","Impressions",134332,0.317571390286752,12233,0.501996007984032,12233,14,229,56,267,-0.632617361962874,10.9811166516799,29.2142857142857,33.8277153558052,81.4642857142857,39.3973799126638,13.6936090384092,3.34510974869218,10.9811166516799,2.61692923044534,1.20749950281541,2.39617712960622,8.22981122569887,8.42028375256139,0.899706104633814
"Facebook Ads Insights","2021-07-21","CENAM","CPM",2021-07-21,2021-04-22,"MCMMIA_2021_DOM_KELLOGGS_PRINGLES_SEASONAL_ALWAYSON_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_EVENINGME","MCMMIA_2021_DOM_Kelloggs_Pringles_Seasonal_Always On_Facebook_Facebook and Instagram_Reach_CPM_Evening Me_Gaming_JUL_L21","Pringles","Always On","Facebook and Instagram",14.81,53027,96,3992,3981,2024,2021-07-21,"2021-07",3,"2021","DOM","Impressions",53027,0.279291681596168,12233,0.501996007984032,12233,14,229,56,267,-0.556362355784016,4.33475026567481,6.85714285714286,14.9513108614232,36.1428571428571,17.3842794759825,4.65149658930977,0.873108679418973,4.33475026567481,1.53718901498097,-0.135695241292814,1.46666399973218,4.78388486324456,4.27181967467878,0.4077514893969
"Facebook Ads Insights","2021-07-21","CENAM","CPM",2021-07-21,2021-04-22,"MCMMIA_2021_DOM_KELLOGGS_PRINGLES_SEASONAL_ALWAYSON_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_EVENINGME","MCMMIA_2021_DOM_Kelloggs_Pringles_Seasonal_Always On_Facebook_Facebook and Instagram_Reach_CPM_Evening Me_Gaming_JUL_L21","Pringles","Always On","Facebook and Instagram",21.35,77917,84,4647,4596,971,2021-07-21,"2021-07",3,"2021","DOM","Impressions",77917,0.274009522953913,12233,0.501996007984032,12233,14,229,56,267,-0.545840043737217,6.36941061064334,6,17.4044943820225,17.3392857142857,20.0698689956332,6.6169617833402,0.793391216434074,6.36941061064334,1.8896363194866,-0.231438841754626,1.85150693950162,6.04885402108262,6.20822004536328,0.366478281001612
"Facebook Ads Insights","2021-07-21","CENAM","CPM",2021-07-21,2021-04-22,"MCMMIA_2021_DOM_KELLOGGS_PRINGLES_SEASONAL_ALWAYSON_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_EVENINGME","MCMMIA_2021_DOM_Kelloggs_Pringles_Seasonal_Always On_Facebook_Facebook and Instagram_Reach_CPM_Evening Me_Gaming_JUL_L21","Pringles","Always On","Facebook and Instagram",33.34,125682,102,14015,13833,7696,2021-07-21,"2021-07",3,"2021","DOM","Impressions",125682,0.265272672299932,12233,0.501996007984032,12233,14,229,56,267,-0.528435820366862,10.2740129158833,7.28571428571429,52.4906367041199,137.428571428571,60.4061135371179,11.1425240739113,1.39694697839491,10.2740129158833,2.41076878638471,0.334289125649697,2.3296176891869,7.70192615372217,8.20658165960216,0.616438605352346
"Facebook Ads Insights","2021-07-21","CENAM","CPM",2021-07-21,2021-04-22,"MCMMIA_2021_DOM_KELLOGGS_PRINGLES_SEASONAL_ALWAYSON_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_EVENINGME","MCMMIA_2021_DOM_Kelloggs_Pringles_Seasonal_Always On_Facebook_Facebook and Instagram_Reach_CPM_Evening Me_Gaming_JUL_L21","Pringles","Always On","Facebook and Instagram",54.78,206384,157,14459,14289,3088,2021-07-21,"2021-07",3,"2021","DOM","Impressions",206384,0.265427552523451,12233,0.501996007984032,12233,14,229,56,267,-0.528744349162024,16.8710864056241,11.2142857142857,54.1535580524345,55.1428571428571,62.3973799126638,18.0666888035491,1.72434674708704,16.8710864056241,2.89406984506544,0.54484828141853,2.825601293158,8.80716955592579,9.39540058731017,0.703104850297886
"Facebook Ads Insights","2021-07-21","CENAM","CPM",2021-07-21,2021-04-22,"MCMMIA_2021_SLV_KELLOGGS_PRINGLES_SEASONAL_ALWAYSON_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_EVENINGME","MCMMIA_2021_SLV_Kelloggs_Pringles_Seasonal_Always On_Facebook_Facebook and Instagram_Reach_CPM_Evening Me_Gaming_JUL_L22","Pringles","Always On","Facebook and Instagram",12.57,36320,72,1518,1502,320,2021-07-21,"2021-07",3,"2021","SLV","Impressions",36320,0.346090308370044,12233,0.501996007984032,12233,14,229,56,267,-0.689428407528398,2.96901822937955,5.14285714285714,5.68539325842697,5.71428571428571,6.5589519650655,2.85709964963193,0.577509827780776,2.96901822937955,1.0498070017555,-0.54902981892878,1.08823133566831,3.09593348495419,2.52524967853371,0.242280449837553
"Facebook Ads Insights","2021-07-21","CENAM","CPM",2021-07-21,2021-04-22,"MCMMIA_2021_SLV_KELLOGGS_PRINGLES_SEASONAL_ALWAYSON_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_EVENINGME","MCMMIA_2021_SLV_Kelloggs_Pringles_Seasonal_Always On_Facebook_Facebook and Instagram_Reach_CPM_Evening Me_Gaming_JUL_L22","Pringles","Always On","Facebook and Instagram",11.04,32378,130,2805,2784,1687,2021-07-21,"2021-07",3,"2021","SLV","Impressions",32378,0.34097226511829,12233,0.501996007984032,12233,14,229,56,267,-0.679233021170033,2.64677511648819,9.28571428571429,10.5056179775281,30.125,12.1572052401747,3.03251042418888,1.06496832887073,2.64677511648819,1.10939079932031,0.0629450605696488,0.973341961754535,3.28930162271583,2.08050550665401,0.496190425220778
"Facebook Ads Insights","2021-07-21","CENAM","CPM",2021-07-21,2021-04-22,"MCMMIA_2021_SLV_KELLOGGS_PRINGLES_SEASONAL_ALWAYSON_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_EVENINGME","MCMMIA_2021_SLV_Kelloggs_Pringles_Seasonal_Always On_Facebook_Facebook and Instagram_Reach_CPM_Evening Me_Gaming_JUL_L22","Pringles","Always On","Facebook and Instagram",30.45,88397,174,4086,4047,809,2021-07-21,"2021-07",3,"2021","SLV","Impressions",88397,0.344468703689039,12233,0.501996007984032,12233,14,229,56,267,-0.686198093631048,7.22610970326167,12.4285714285714,15.3033707865169,14.4464285714286,17.6724890829694,7.95201613783266,1.41210452820204,7.22610970326167,2.07342549875773,0.345081164802776,1.97770081435137,6.67489834018181,6.80360715574285,0.621072416278392
"Facebook Ads Insights","2021-07-21","CENAM","CPM",2021-07-21,2021-04-22,"MCMMIA_2021_SLV_KELLOGGS_PRINGLES_SEASONAL_ALWAYSON_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_EVENINGME","MCMMIA_2021_SLV_Kelloggs_Pringles_Seasonal_Always On_Facebook_Facebook and Instagram_Reach_CPM_Evening Me_Gaming_JUL_L22","Pringles","Always On","Facebook and Instagram",38.07,108099,374,5560,5553,2327,2021-07-21,"2021-07",3,"2021","SLV","Impressions",108099,0.352177170926651,12233,0.501996007984032,12233,14,229,56,267,-0.701553728168,8.83667129894548,26.7142857142857,20.8239700374532,41.5535714285714,24.2489082969432,11.0587643048388,2.92364673406137,8.83667129894548,2.40322326334588,1.07283171860421,2.17891025584379,7.68106698991274,7.65933782132683,0.870374915638069
"Facebook Ads Insights","2021-07-21","CENAM","CPM",2021-07-21,2021-04-22,"MCMMIA_2021_GTM_KELLOGGS_PRINGLES_SEASONAL_ALWAYSON_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_EVENINGME","MCMMIA_2021_GTM_Kelloggs_Pringles_Seasonal_Always On_Facebook_Facebook and Instagram_Reach_CPM_Evening Me_Gaming_JUL_L18","Pringles","Always On","Facebook and Instagram",33.27,71437,229,1822,1815,549,2021-07-21,"2021-07",3,"2021","GTM","Impressions",71437,0.465725044444756,12233,0.501996007984032,12233,14,229,56,267,-0.927746510007247,5.83969590452056,16.3571428571429,6.82397003745318,9.80357142857143,7.92576419213974,6.62649952844992,1.7145501339366,5.83969590452056,1.89107669017733,0.539150733634533,1.76467872434065,6.05389233778167,5.78014756877323,0.700879856569807
"Facebook Ads Insights","2021-07-21","CENAM","CPM",2021-07-21,2021-04-22,"MCMMIA_2021_GTM_KELLOGGS_PRINGLES_SEASONAL_ALWAYSON_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_EVENINGME","MCMMIA_2021_GTM_Kelloggs_Pringles_Seasonal_Always On_Facebook_Facebook and Instagram_Reach_CPM_Evening Me_Gaming_JUL_L18","Pringles","Always On","Facebook and Instagram",25.89,57983,157,5530,5473,3351,2021-07-21,"2021-07",3,"2021","GTM","Impressions",57983,0.446510184019454,12233,0.501996007984032,12233,14,229,56,267,-0.88946959122762,4.73988392054279,11.2142857142857,20.7116104868914,59.8392857142857,23.8995633187773,5.24118824765882,1.39077391834365,4.73988392054279,1.65654823744608,0.329860367987269,1.55601264607015,5.21629522882996,4.72290537683007,0.614532143640831
"Facebook Ads Insights","2021-07-21","CENAM","CPM",2021-07-21,2021-04-22,"MCMMIA_2021_GTM_KELLOGGS_PRINGLES_SEASONAL_ALWAYSON_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_EVENINGME","MCMMIA_2021_GTM_Kelloggs_Pringles_Seasonal_Always On_Facebook_Facebook and Instagram_Reach_CPM_Evening Me_Gaming_JUL_L18","Pringles","Always On","Facebook and Instagram",79.08,172827,358,7400,7304,1485,2021-07-21,"2021-07",3,"2021","GTM","Impressions",172827,0.457567393983579,12233,0.501996007984032,12233,14,229,56,267,-0.911496081056752,14.1279326412164,25.5714285714286,27.7153558052434,26.5178571428571,31.8951965065502,16.0804403521484,2.8640037919888,14.1279326412164,2.77760364845971,1.05222057311596,2.64815387609942,8.58311609423818,9.07321413990851,0.865408320131002
"Facebook Ads Insights","2021-07-21","CENAM","CPM",2021-07-21,2021-04-22,"MCMMIA_2021_GTM_KELLOGGS_PRINGLES_SEASONAL_ALWAYSON_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_EVENINGME","MCMMIA_2021_GTM_Kelloggs_Pringles_Seasonal_Always On_Facebook_Facebook and Instagram_Reach_CPM_Evening Me_Gaming_JUL_L18","Pringles","Always On","Facebook and Instagram",96.64,208429,697,12819,12798,6800,2021-07-21,"2021-07",3,"2021","GTM","Impressions",208429,0.463659087746907,12233,0.501996007984032,12233,14,229,56,267,-0.923631025690657,17.03825717322,49.7857142857143,48.0112359550562,121.428571428571,55.8864628820961,21.7003271533681,5.58570100583877,17.03825717322,3.07732733662485,1.72020994046186,2.83546123760346,9.10699444394298,9.41033514921359,0.968378995108789
"Facebook Ads Insights","2021-07-21","CENAM","CPM",2021-07-21,2021-04-22,"MCMMIA_2021_CRI_KELLOGGS_PRINGLES_SEASONAL_ALWAYSON_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_EVENINGME","MCMMIA_2021_CRI_Kelloggs_Pringles_Seasonal_Always On_Facebook_Facebook and Instagram_Reach_CPM_Evening Me_Gaming_JUL_L19","Pringles","Always On","Facebook and Instagram",5.62,12903,38,982,974,548,2021-07-21,"2021-07",3,"2021","CRI","Impressions",12903,0.43555762225839,12233,0.501996007984032,12233,14,229,56,267,-0.86765156561214,1.054769884738,2.71428571428571,3.67790262172285,9.78571428571429,4.25327510917031,0.505536958568296,0.318418639442431,1.054769884738,-0.68213413029948,-1.14438828576295,0.0533226244049297,0.192010601011243,0.234352162870625,0.0853898743999584
"Facebook Ads Insights","2021-07-21","CENAM","CPM",2021-07-21,2021-04-22,"MCMMIA_2021_CRI_KELLOGGS_PRINGLES_SEASONAL_ALWAYSON_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_EVENINGME","MCMMIA_2021_CRI_Kelloggs_Pringles_Seasonal_Always On_Facebook_Facebook and Instagram_Reach_CPM_Evening Me_Gaming_JUL_L19","Pringles","Always On","Facebook and Instagram",19.72,44350,65,1871,1863,386,2021-07-21,"2021-07",3,"2021","CRI","Impressions",44350,0.444644870349493,12233,0.501996007984032,12233,14,229,56,267,-0.885753797396007,3.62543938526935,4.64285714285714,7.00749063670412,6.89285714285714,8.1353711790393,3.28175260278686,0.542067014913517,3.62543938526935,1.18837760981049,-0.612365641433874,1.28797549069081,3.55279008343525,3.40308239173534,0.22054957587341
"Facebook Ads Insights","2021-07-21","CENAM","CPM",2021-07-21,2021-04-22,"MCMMIA_2021_CRI_KELLOGGS_PRINGLES_SEASONAL_ALWAYSON_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_EVENINGME","MCMMIA_2021_CRI_Kelloggs_Pringles_Seasonal_Always On_Facebook_Facebook and Instagram_Reach_CPM_Evening Me_Gaming_JUL_L19","Pringles","Always On","Facebook and Instagram",19.21,41211,93,2248,2243,867,2021-07-21,"2021-07",3,"2021","CRI","Impressions",41211,0.466137681686928,12233,0.501996007984032,12233,14,229,56,267,-0.928568503082111,3.36883838796697,6.64285714285714,8.41947565543071,15.4821428571429,9.79475982532751,3.20521197456456,0.764942089679697,3.36883838796697,1.16477822689526,-0.267955147786075,1.2145679929464,3.47326793992293,3.06668604073012,0.351106927242912
"Facebook Ads Insights","2021-07-21","CENAM","CPM",2021-07-21,2021-04-22,"MCMMIA_2021_CRI_KELLOGGS_PRINGLES_SEASONAL_ALWAYSON_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_EVENINGME","MCMMIA_2021_CRI_Kelloggs_Pringles_Seasonal_Always On_Facebook_Facebook and Instagram_Reach_CPM_Evening Me_Gaming_JUL_L19","Pringles","Always On","Facebook and Instagram",50.01,116066,95,6878,6831,1420,2021-07-21,"2021-07",3,"2021","CRI","Impressions",116066,0.430875536332776,12233,0.501996007984032,12233,14,229,56,267,-0.858324627048592,9.48794245074798,6.78571428571429,25.7602996254682,25.3571428571429,29.8296943231441,9.59413236081495,0.964514537115568,9.48794245074798,2.26115169919223,-0.036130374572055,2.25002177675932,7.26928108247284,7.928311726676,0.451780021163709
"Facebook Ads Insights","2021-07-21","CENAM","CPM",2021-07-21,2021-04-22,"MCMMIA_2021_PAN_KELLOGGS_PRINGLES_SEASONAL_ALWAYSON_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_EVENINGME","MCMMIA_2021_PAN_Kelloggs_Pringles_Seasonal_Always On_Facebook_Facebook and Instagram_Reach_CPM_Evening Me_Gaming_JUL_L20","Pringles","Always On","Facebook and Instagram",4.08,10095,10,815,812,364,2021-07-21,"2021-07",3,"2021","PAN","Impressions",10095,0.404160475482912,12233,0.501996007984032,12233,14,229,56,267,-0.805106951160791,0.825226845418131,0.714285714285714,3.05243445692884,6.5,3.54585152838428,0.128927395408038,0.108807501150698,0.825226845418131,-2.04850585936092,-2.21817500253705,-0.192096966299978,0.00463262979700144,0.107040136914379,0.00494852763450017
"Facebook Ads Insights","2021-07-21","CENAM","CPM",2021-07-21,2021-04-22,"MCMMIA_2021_PAN_KELLOGGS_PRINGLES_SEASONAL_ALWAYSON_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_EVENINGME","MCMMIA_2021_PAN_Kelloggs_Pringles_Seasonal_Always On_Facebook_Facebook and Instagram_Reach_CPM_Evening Me_Gaming_JUL_L20","Pringles","Always On","Facebook and Instagram",12.83,32842,22,2128,2103,454,2021-07-21,"2021-07",3,"2021","PAN","Impressions",32842,0.390658303391998,12233,0.501996007984032,12233,14,229,56,267,-0.778209980116863,2.68470530532167,1.57142857142857,7.97003745318352,8.10714285714286,9.18340611353712,2.152364040348,0.245868715143189,2.68470530532167,0.766566791723449,-1.40295756378643,0.987570966004866,2.25323246782148,2.13294290344557,0.0483566550774901
"Facebook Ads Insights","2021-07-21","CENAM","CPM",2021-07-21,2021-04-22,"MCMMIA_2021_PAN_KELLOGGS_PRINGLES_SEASONAL_ALWAYSON_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_EVENINGME","MCMMIA_2021_PAN_Kelloggs_Pringles_Seasonal_Always On_Facebook_Facebook and Instagram_Reach_CPM_Evening Me_Gaming_JUL_L20","Pringles","Always On","Facebook and Instagram",9.59,25674,22,2422,2387,1307,2021-07-21,"2021-07",3,"2021","PAN","Impressions",25674,0.373529640881826,12233,0.501996007984032,12233,14,229,56,267,-0.744088867124433,2.09874928472165,1.57142857142857,9.07116104868914,23.3392857142857,10.4235807860262,1.62689652901986,0.272236111422637,2.09874928472165,0.486674230037478,-1.3010855325286,0.741341588597955,1.5657593237077,1.33646663568399,0.0610240263928099
"Facebook Ads Insights","2021-07-21","CENAM","CPM",2021-07-21,2021-04-22,"MCMMIA_2021_PAN_KELLOGGS_PRINGLES_SEASONAL_ALWAYSON_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_EVENINGME","MCMMIA_2021_PAN_Kelloggs_Pringles_Seasonal_Always On_Facebook_Facebook and Instagram_Reach_CPM_Evening Me_Gaming_JUL_L20","Pringles","Always On","Facebook and Instagram",44.63,110298,68,8033,7940,1630,2021-07-21,"2021-07",3,"2021","PAN","Impressions",110298,0.404631090318954,12233,0.501996007984032,12233,14,229,56,267,-0.80604443836897,9.0164309654214,4.85714285714286,30.0861423220974,29.1071428571429,34.6724890829694,9.02953662775313,0.819150100700699,9.0164309654214,2.20050105135623,-0.199487938782711,2.19904857566401,7.08306888379881,7.7374123931873,0.380106853444903
